,Company_Name,Dependent-Company Status,year of founding,Age of company in years,Internet Activity Score,Short Description of company profile,Industry of company,Focus functions of company,Investors,Employee Count,Employees count MoM change,Has the team size grown,Est. Founding Date,Last Funding Date,Last Funding Amount,Country of company,Continent of company,Number of Investors in Seed,Number of Investors in Angel and or VC,Number of Co-founders,Number of of advisors,Team size Senior leadership,Team size all employees,Presence of a top angel or venture fund in previous round of investment,Number of of repeat investors,Number of  Sales Support material,Worked in top companies,Average size of companies worked for in the past,Have been part of startups in the past?,Have been part of successful startups in the past?,Was he or she partner in Big 5 consulting?,Consulting experience?,Product or service company?,Catering to product/service across verticals,Focus on private or public data?,Focus on consumer data?,Focus on structured or unstructured data,Subscription based business,Cloud or platform based serive/product?,Local or global player,Linear or Non-linear business model,Capital intensive business,Number of  of Partners of company,Crowdsourcing based business,Crowdfunding based business,Machine Learning based business,Predictive Analytics business,Speech analytics business,Prescriptive analytics business,Big Data Business,Cross-Channel Analytics/ marketing channels,Owns data or not? (monetization of data) e.g. Factual,Is the company an aggregator/market place? e.g. Bluekai,Online or offline venture - physical location based business or online venture?,B2C or B2B venture?,Top forums talking about company/Model,Average Years of experience for founder and co founder,Exposure across the globe,Breadth of experience across verticals,Highest education,Years of education,Specialization of highest education,Relevance of education to venture,Relevance of experience to venture,Degree from a Tier 1 or Tier 2 university?,Renowned in professional circle,Experience in selling and building products,Experience in Fortune 100 organizations,Experience in Fortune 500 organizations,Experience in Fortune 1000 organizations,Top management similarity,Number of Recognitions for Founders and Co-founders,Number of  of Research publications,Skills score,Team Composition score,Dificulty of Obtaining Work force,Pricing Strategy,Hyper localisation,Time to market service or product,Employee benefits and salary structures,Long term relationship with other founders,Proprietary or patent position (competitive position),Barriers of entry for the competitors,Company awards,Controversial history of founder or co founder,Legal risk and intellectual property,Client Reputation,google page rank of company website,Technical proficiencies to analyse and interpret unstructured data,Solutions offered,Invested through global incubation competitions?,Industry trend in investing,Disruptiveness of technology,Number of Direct competitors,Employees per year of company existence,Last round of funding received (in milionUSD),Survival through recession,Time to 1st investment (in months),"Avg time to investment - average across all rounds, measured from previous investment",Gartner hype cycle stage,Time to maturity of technology (in years),Percent_skill_Entrepreneurship,Percent_skill_Operations,Percent_skill_Engineering,Percent_skill_Marketing,Percent_skill_Leadership,Percent_skill_Data Science,Percent_skill_Business Strategy,Percent_skill_Product Management,Percent_skill_Sales,Percent_skill_Domain,Percent_skill_Law,Percent_skill_Consulting,Percent_skill_Finance,Percent_skill_Investment,Renown score
32,Company33,1,2010.0,4.0,983.0,Social Media Analytics and Reporting,Analytics,Analytics,MHS Capital|Social Leverage|Vast Ventures|Bessemer Venture Partners|Founder's Co-op|Mark Sugarman|Trinity Ventures,115.0,6.0,Yes,2010-01-01,2014-03-18,20000000.0,United States,North America,2.0,3.0,3,2,5,132.0,Yes,3.0,high,No,Small,No,No,No,No,Product,Yes,Both,No,Both,1,Platform,Global,Non-Linear,No,,No,No,No,Yes,No,Yes,Yes,No,No,No,Online,B2B,Low,Medium,No,Medium,Bachelors,18.0,Economics,No,No,Tier_2,470.0,2,0.0,0.0,0.0,High,63.0,Few,31.0,High,High,Yes,No,Low,Good,Yes,Yes,No,Yes,No,No,3,9355.0,No,No,Yes,4.0,High,0.0,44.0,20.0,Not Applicable,1.0,12.0,Trigger,2 to 5,12.5,0.0,6.25,50.0,0.0,18.75,6.25,0.0,6.25,0.0,0.0,0.0,0.0,0.0,1.0
35,Company36,1,2012.0,2.0,75.0,,Marketing|Email,Marketing,Grotech Ventures|Access Venture Partners|FFP Holdings|TechStars,14.0,0.0,Yes,2012-01-01,2013-05-24,2870890.0,United States,North America,0.0,3.0,2,6,4,13.0,No,0.0,medium,No,Medium,No,No,No,No,Service,Yes,Public,Yes,Structured,1,Platform,Global,Non-Linear,No,,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Offline,B2B,Low,High,No,Medium,Bachelors,18.0,Arts,No,Yes,,500.0,3,1.0,1.0,1.0,Medium,61.0,Many,45.0,Medium,Medium,Yes,No,Medium,Good,Yes,Yes,Yes,Yes,No,No,3,1951415.0,No,No,Yes,4.0,Medium,0.0,13.0,2.87089,Not Applicable,7.0,5.033333333,Peak,2 to 5,16.66666667,11.11111111,0.0,11.11111111,11.11111111,0.0,27.77777778,0.0,5.555555556,0.0,0.0,0.0,11.11111111,5.555555556,0.0
39,Company40,1,2010.0,4.0,56.0,Shaking Up Publishing,Media|Analytics|Publishing|Mobile|Education,Analytics,EA Media Syndicate I LLC|Glen Surnamer|Jeff Schweiger,7.0,0.0,No,2010-10-01,2012-10-23,450000.0,United States,North America,3.0,0.0,5,0,5,10.0,No,0.0,medium,Yes,Small,No,No,No,No,Service,Yes,Public,Yes,Structured,1,Platform,Global,Non-Linear,No,,No,No,No,Yes,No,No,No,No,No,No,Online,B2B,Low,Medium,Yes,Medium,Bachelors,18.0,electrical,Yes,Yes,,500.0,2,1.0,1.0,0.0,,245.0,,13.0,Medium,Medium,Yes,No,Low,Average,No,No,No,No,No,No,0,4518529.0,Yes,Yes,No,3.0,High,3.0,2.0,0.45,Not Applicable,12.0,14.0,Slope,2 to 5,8.225957049,3.333333333,5.93837535,39.37791783,10.52170868,4.761904762,11.83706816,1.111111111,3.333333333,4.892623716,0.0,1.111111111,4.444444444,1.111111111,5.0
40,Company41,1,2012.0,2.0,89.0,energy efficiency data platform,E-Commerce|Energy|Media,Marketing,Matthias Kurwig|Don Epperson,6.0,0.0,No,2012-01-01,2013-06-01,,United States,North America,2.0,1.0,2,1,2,7.0,No,0.0,medium,No,Small,Yes,No,No,No,Service,Yes,Private,No,Unstructured,1,Platform,Local,Non-Linear,Yes,,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Online,B2C,,High,Yes,Low,Masters,21.0,management,No,Yes,Tier_2,500.0,3,0.0,0.0,0.0,Medium,193.0,,15.0,Low,Medium,No,No,Medium,Bad,Yes,No,No,Yes,No,No,0,2219202.0,No,No,No,2.0,High,5.0,7.0,,Not Applicable,18.0,18.0,Peak,2 to 5,8.333333333,0.0,8.333333333,61.11111111,0.0,0.0,11.11111111,2.777777778,0.0,8.333333333,0.0,0.0,0.0,0.0,3.0
43,Company44,1,2008.0,6.0,40.0,Smart Suggestions for Sales Reps,,Sales,Starfish Ventures,12.0,0.0,Yes,2008-01-01,2013-07-08,2517424.0,United States,North America,0.0,0.0,3,0,6,50.0,,1.0,low,No,Small,No,No,No,Yes,Product,Yes,Private,Yes,Structured,1,Cloud,Global,Non-Linear,No,Few,No,No,No,Yes,No,No,No,No,No,No,Online,B2B,Low,High,Yes,High,Masters,21.0,Business management,Yes,Yes,Tier_1,500.0,2,0.0,0.0,0.0,,1.0,,25.0,Medium,High,Yes,No,Medium,,No,No,No,Yes,No,No,0,2607547.0,No,Yes,No,4.0,High,0.0,10.0,2.517424,Yes,36.0,4.0,Trigger,5 to 10,6.25,0.0,0.0,6.25,6.25,0.0,18.75,6.25,0.0,0.0,0.0,0.0,0.0,6.25,9.0
46,Company47,1,2011.0,3.0,295.0,,Analytics|Enterprise Software,technology,Defense Advanced Research Projects Agency,35.0,0.0,Yes,2011-01-01,2013-02-05,3000000.0,United States,North America,0.0,1.0,2,2,2,32.0,,0.0,high,No,Medium,No,No,No,No,Product,Yes,Private,No,Structured,1,Platform,Global,Non-Linear,No,,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,High,No,Medium,PhD,25.0,bio engg,No,No,,500.0,2,0.0,0.0,0.0,,1.0,,25.0,Medium,High,Yes,No,Medium,,No,No,Yes,No,No,No,3,221783.0,Yes,Yes,No,4.0,High,0.0,16.0,3.0,Not Applicable,16.0,3.0,,,0.0,0.0,64.70588235,0.0,0.0,26.47058824,5.882352941,2.941176471,0.0,0.0,0.0,0.0,0.0,0.0,6.0
47,Company48,1,2003.0,11.0,111.0,"Analytics, e-commerce, Consumer Finance",,Risk,Crystal Financial|Crosslink Capital|QED Investors,267.0,0.0,Yes,2003-12-01,2013-07-29,30000000.0,United States,North America,,,2,13,14,300.0,,0.0,low,No,Medium,Yes,Yes,No,No,Product,No,Private,Yes,Structured,0,Platform,Global,Non-Linear,No,Few,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2C,Low,High,Yes,Medium,Bachelors,18.0,Business management,Yes,Yes,Tier_1,500.0,2,0.0,0.0,0.0,,0.0,,25.0,Medium,Medium,No,No,Medium,Good,No,No,Yes,No,No,No,2,1089377.0,No,Yes,No,4.0,High,0.0,30.0,30.0,Yes,72.0,24.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Company49,1,2000.0,14.0,160.0,"Predictive Analytics, Advanced Analytics",Analytics,operations,TA Associates,594.0,3.0,Yes,2000-01-01,2013-06-24,25000000.0,United States,North America,,,2,0,9,616.0,,0.0,high,No,Large,No,No,No,No,Service,Yes,Private,Yes,Structured,1,Platform,Global,Non-Linear,No,Few,No,No,No,Yes,No,Yes,Yes,No,No,No,Offline,B2B,Low,High,Yes,High,Bachelors,18.0,Business management,Yes,Yes,Tier_1,500.0,3,0.0,0.0,0.0,High,9.0,,51.5,High,High,No,No,Low,Bad,Yes,No,No,Yes,No,No,3,213086.0,Yes,Yes,No,3.0,Medium,0.0,47.38,25.0,Yes,156.0,156.0,,,0.0,2.631578947,5.263157895,5.555555556,13.15789474,43.2748538,19.15204678,0.0,5.555555556,0.0,0.0,5.409356725,0.0,0.0,1.0
50,Company51,1,2011.0,3.0,805.0,Connected data for marketers & ecommerce,E-Commerce|Analytics,"Marketing, Web Analytics",Battery Ventures|Wellington Partners|General Catalyst Partners|Silicon Valley Bank,23.0,0.0,Yes,2011-05-06,2013-12-03,4000000.0,United States,North America,0.0,3.0,2,1,3,28.0,Yes,2.0,high,No,Medium,Yes,Yes,No,No,Service,Yes,Both,No,Both,1,Cloud,Global,Non-Linear,No,Many,No,No,No,No,No,No,Yes,No,No,Yes,Online,B2B,Medium,High,Yes,Medium,Bachelors,18.0,,,Yes,Tier_1,500.0,2,0.0,0.0,0.0,,0.0,,25.0,Low,Low,Yes,No,Low,,No,No,No,No,No,No,3,11967.0,No,Yes,No,4.0,High,0.0,14.0,4.0,Not Applicable,13.0,4.583333333,Plateau,0 to 2,17.64705882,0.0,5.882352941,29.41176471,0.0,11.76470588,11.76470588,5.882352941,0.0,17.64705882,0.0,0.0,0.0,0.0,3.0
51,Company52,1,2009.0,5.0,-129.0,Customer Data-Powered Marketing,E-Commerce|Advertising|Analytics,Marketing,SV Angel|Harrison Metal Capital|Baseline Ventures|Greylock Partners|Dick Costolo|Reid Hoffman|Jeff Jordan|Harrison Metal|Bain Capital Ventures,50.0,0.0,Yes,2009-07-01,2011-06-13,13000000.0,United States,North America,0.0,0.0,2,2,4,55.0,Yes,3.0,medium,Yes,Large,Yes,Yes,No,No,Both,No,Private,Yes,Structured,0,Platform,Global,Non-Linear,No,,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Offline,B2B,Medium,High,Yes,Medium,Bachelors,18.0,economics,Yes,Yes,Tier_1,500.0,2,1.0,1.0,1.0,,0.0,,14.0,Low,Medium,Yes,No,Low,,No,No,Yes,No,No,No,3,169460.0,Yes,Yes,No,4.0,High,0.0,13.75,13.0,Not Applicable,1.0,7.733333333,Trough,2 to 5,22.22222222,0.0,0.0,22.22222222,0.0,11.11111111,22.22222222,11.11111111,0.0,11.11111111,0.0,0.0,0.0,0.0,0.0
54,Company55,1,2012.0,2.0,888.0,Enterprise Marketing Intelligence,,Marketing,Sean Glass|Hemang Gadhia|Adam Riggs|Roger Krakoff|Tony Ayaz|Marc Solomon|Acceleprise Ventures|Andy Klingenstein|Adam Falla|Bowery Capital|New Enterprise Associates,38.0,23.0,Yes,2012-09-01,2014-02-04,6500000.0,United States,North America,10.0,0.0,1,3,4,40.0,Yes,2.0,high,No,Medium,No,No,No,No,Service,Yes,Both,No,Both,1,Platform,Global,Linear,Yes,,No,No,No,No,No,No,Yes,No,No,Yes,Online,B2B,Low,Medium,No,Low,Bachelors,18.0,Political Science,No,No,,500.0,0,0.0,0.0,0.0,Medium,79.0,Few,0.0,Medium,Medium,Yes,No,Medium,,No,Yes,No,Yes,No,No,3,86394.0,Yes,No,Yes,3.0,High,0.0,40.0,6.5,Not Applicable,8.0,4.183333333,Peak,2 to 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
57,Company58,1,2012.0,2.0,272.0,Know and Grow Your Audience,Analytics|Advertising|Cloud Computing|Marketing,marketing,Square 1 Bank|High Line Venture Partners|SV Angel|Allen Debevoise|Matt Coffin|Paul Bricault|Jonah Goodhart|Dean Gilbert|Tony Nethercutt|FirstMark Capital|Ben Ling|Lerer Ventures,24.0,0.0,No,2012-04-17,2013-06-25,1000000.0,United States,North America,1.0,0.0,2,2,4,15.0,No,0.0,medium,Yes,Small,Yes,Yes,No,Yes,Product,No,Both,Yes,Unstructured,0,Platform,Global,Linear,Yes,,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Medium,High,Yes,Low,Masters,21.0,general mangement,Yes,Yes,Tier_1,500.0,2,0.0,0.0,0.0,,0.0,,25.0,Medium,Medium,Yes,No,Low,,No,No,Yes,No,No,No,2,282991.0,Yes,Yes,No,3.0,High,0.0,15.0,1.0,Not Applicable,7.0,4.716666667,Plateau,0 to 2,11.11111111,0.0,0.0,44.44444444,11.11111111,5.555555556,11.11111111,5.555555556,5.555555556,0.0,0.0,0.0,0.0,5.555555556,0.0
60,Company61,1,2009.0,5.0,409.0,The ﬁnancial terminal of the web.,Finance,analytics,Hyde Park Angels|I2A Fund|Amicus Capital|Social Leverage|Morningstar|Reed Elsevier Ventures,22.0,-4.0,Yes,2009-01-01,2013-05-09,3900000.0,United States,North America,0.0,0.0,2,0,2,50.0,No,2.0,medium,Yes,Large,No,No,No,Yes,Product,No,Both,No,Both,1,Platform,Global,Non-Linear,Yes,,No,No,No,No,No,No,No,No,No,No,Online,B2B,Medium,High,No,Medium,Bachelors,18.0,science,Yes,Yes,Tier_1,500.0,2,1.0,1.0,1.0,,0.0,,20.0,Low,Low,Yes,Yes,Low,,No,No,Yes,No,No,No,0,28597.0,No,No,No,3.0,Medium,0.0,12.5,3.9,Not Applicable,14.0,12.74444444,Trough,2 to 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
62,Company63,1,2012.0,2.0,388.0,,E-Commerce|Marketing,sales,,17.0,6.0,No,2012-11-01,2013-07-03,750000.0,India,Asia,0.0,1.0,2,1,2,18.0,No,0.0,low,No,Large,No,No,No,Yes,Service,No,no,No,Structured,0,,Local,Non-Linear,No,Many,No,No,No,No,No,No,No,No,No,Yes,Online,B2C,Low,Medium,Yes,Medium,Bachelors,18.0,economics,Yes,Yes,Tier_1,500.0,2,1.0,1.0,1.0,High,1.0,,20.0,Low,Medium,Yes,Yes,Low,,Yes,No,No,No,No,No,2,17535.0,No,No,,3.0,High,0.0,18.0,0.75,Not Applicable,10.0,10.0,Peak,2 to 5,11.76470588,0.0,0.0,52.94117647,5.882352941,0.0,5.882352941,0.0,11.76470588,5.882352941,0.0,0.0,5.882352941,0.0,1.0
66,Company67,1,2009.0,5.0,157.0,Mobile shopping lead generator,E-Commerce|Retail|Marketing|Mobile|Advertising|Deals,mobile app,Cervin Ventures|Inventus Capital Partners|TiE Silicon Valley Angels|Foundation Capital,43.0,2.0,Yes,2009-01-01,2013-06-07,,United States,North America,0.0,0.0,4,1,5,39.0,No,0.0,low,No,Small,Yes,Yes,No,Yes,Service,Yes,no,No,Unstructured,1,Platform,Global,Non-Linear,No,,No,No,No,No,No,No,No,No,No,Yes,Online,B2B,Low,High,Yes,Medium,Bachelors,18.0,technology,Yes,Yes,Tier_2,500.0,2,0.0,0.0,0.0,High,0.0,,25.0,Medium,Low,No,No,Low,,Yes,No,Yes,Yes,No,Yes,3,346300.0,No,No,No,3.0,High,0.0,9.75,,Not Applicable,36.0,9.466666667,Trigger,5 to 10,8.680555556,0.0,22.91666667,18.40277778,2.777777778,0.0,23.61111111,8.680555556,6.25,8.680555556,0.0,0.0,0.0,0.0,8.0
70,Company71,1,2009.0,5.0,43.0,Streaming Media Analytics,Media|Analytics|Entertainment,analytic,Active Up|GUESS|Audilion|Jean-Luc Halleux|Dany Donnen|StartupInvest,6.0,0.0,No,2009-10-15,2009-10-15,425000.0,Belgium,Europe,0.0,6.0,3,0,5,10.0,No,0.0,medium,No,Small,Yes,Yes,No,Yes,Service,Yes,no,Yes,Unstructured,1,Platform,Global,Non-Linear,No,,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2C,Low,High,No,Medium,Masters,21.0,computer science,Yes,Yes,,500.0,2,0.0,0.0,0.0,,0.0,,18.0,Low,Medium,Yes,No,Low,,No,No,No,Yes,No,No,0,1766890.0,No,No,No,3.0,Medium,2.0,2.5,0.425,Not Applicable,1.0,1.0,Trough,2 to 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
74,Company75,1,2013.0,1.0,181.0,Software Company,Transportation|Analytics,software ,LAUNCHub|Launch Hub,9.0,0.0,No,2013-03-18,2013-08-30,135000.0,Bulgaria,Europe,2.0,0.0,2,0,3,10.0,No,0.0,low,No,Small,Yes,Yes,No,Yes,Service,No,Both,No,Structured,0,Platform,Local,Non-Linear,No,,No,No,No,Yes,No,Yes,Yes,No,No,No,Offline,B2B,Low,High,Yes,Medium,Masters,21.0,management,Yes,Yes,,500.0,2,0.0,0.0,0.0,Medium,0.0,,25.0,High,High,No,No,Low,,Yes,No,No,Yes,No,No,0,1668553.0,No,No,No,4.0,High,4.0,10.0,0.135,Not Applicable,5.0,5.0,Plateau,0 to 2,11.11111111,16.66666667,16.66666667,0.0,11.11111111,11.11111111,11.11111111,11.11111111,0.0,0.0,0.0,11.11111111,0.0,0.0,1.0
77,Company78,1,2012.0,2.0,398.0,Standard for reputation,Human Resources (HR)|Enterprise Software|Career / Job Search|Social Networking|Analytics,SOCIAL MEDIA,500 Startups|Seedcamp,11.0,0.0,No,2012-07-17,,,Spain,Europe,0.0,0.0,4,0,3,10.0,,0.0,medium,No,Large,No,No,No,Yes,Service,No,Public,Yes,Structured,0,Both,Global,Non-Linear,No,,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Online,B2C,Low,Medium,Yes,Low,Masters,21.0,MGMT,Yes,Yes,,500.0,0,0.0,0.0,1.0,Medium,186.0,Many,14.0,Low,Low,Yes,No,Low,,Yes,No,No,No,No,Yes,0,235406.0,Yes,No,No,3.0,Medium,4.0,10.0,,Not Applicable,1.0,1.0,Trough,2 to 5,28.57142857,7.142857143,7.142857143,7.142857143,14.28571429,7.142857143,7.142857143,7.142857143,0.0,0.0,0.0,0.0,7.142857143,7.142857143,4.0
80,Company81,1,2010.0,4.0,263.0,big data predictive analytics solution,Analytics|Marketing,MARKETING,Elaia Partners|Isai,18.0,29.0,Yes,2010-01-01,2013-11-12,1900000.0,France,Europe,2.0,0.0,2,0,3,50.0,No,0.0,low,No,Large,Yes,Yes,Yes,Yes,Service,Yes,Public,No,Both,1,Both,Global,Non-Linear,No,,No,No,Yes,Yes,No,No,No,Yes,No,No,Online,B2B,Low,High,Yes,Medium,PhD,25.0,maths,Yes,Yes,Tier_1,500.0,2,0.0,0.0,0.0,Low,441.0,Many,5.0,Low,Medium,No,No,Low,,Yes,No,Yes,No,No,No,0,962657.0,Yes,No,No,4.0,Medium,33.0,16.6,1.9,Not Applicable,45.0,45.0,Trigger,2 to 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
86,Company87,1,2010.0,4.0,-103.0,mobile sales analytics,E-Commerce|Analytics|Advertising|Mobile,APP REVENUE,Seedcamp,6.0,0.0,No,2010-11-01,2011-04-01,50000.0,United Kingdom,Europe,2.0,0.0,3,1,3,50.0,No,0.0,medium,No,Small,Yes,Yes,No,No,Service,No,Public,No,Structured,1,Both,Local,Non-Linear,No,,No,No,Yes,Yes,Yes,No,No,No,No,No,Online,B2B,Low,High,Yes,Medium,Masters,21.0,"Engineering, management",Yes,Yes,Tier_2,416.0,3,1.0,1.0,1.0,,184.0,,30.0,High,Low,Yes,No,Low,,Yes,No,No,No,No,No,0,312361.0,No,Yes,No,2.0,Medium,2.0,25.0,0.05,Not Applicable,1.0,7.583333333,,,7.692307692,3.846153846,46.58119658,0.0,7.692307692,7.692307692,2.777777778,6.623931624,3.846153846,13.24786325,0.0,0.0,0.0,0.0,5.0
87,Company88,1,2009.0,5.0,-2.0,Social Influence/Authority platform,Media|Advertising|Analytics|Marketing,OPERATIONS,Stefan Glaenzer|Sherry Coutu|Ab Banerjee|Shamil Chandaria|Anish Chandaria|Bill Emmott|Ditlev Schwanenflugel|Ken Olisa|Azeem Azhar|Anthemis Group|Meridian Venture Partners|Tom Glocer|Sanford Dickert,20.0,5.0,No,2009-07-07,2012-03-19,3000000.0,United Kingdom,Europe,0.0,0.0,2,3,5,50.0,No,0.0,medium,No,Medium,Yes,Yes,No,Yes,Service,Yes,Public,No,Structured,1,Both,Local,Linear,No,Few,No,No,No,No,No,Yes,Yes,No,No,No,Online,B2B,Low,High,No,Medium,PhD,25.0,artificial intelligence and advanced technloges,Yes,Yes,Tier_1,500.0,2,0.0,0.0,0.0,Low,5.0,Few,37.0,Low,Medium,No,No,Low,,No,No,Yes,No,No,No,0,44436.0,Yes,No,No,3.0,Medium,0.0,12.5,3.0,Not Applicable,1.0,16.53333333,Trough,2 to 5,10.52631579,0.0,10.52631579,31.57894737,0.0,5.263157895,15.78947368,5.263157895,5.263157895,10.52631579,0.0,0.0,0.0,5.263157895,7.0
90,Company91,1,2010.0,4.0,-13.0,Enterprise social network,Social Networking,data visualization,Cantabria Capital,6.0,,No,2010-03-01,2010-03-01,1700000.0,United States,North America,0.0,0.0,0,0,6,10.0,No,0.0,low,Yes,Small,Yes,Yes,No,No,Service,Yes,Both,Yes,Structured,0,Both,Global,Non-Linear,No,,No,No,No,No,No,No,Yes,Yes,No,No,Online,B2C,,High,Yes,Medium,Masters,21.0,INDUSTRI,No,No,Tier_1,500.0,2,0.0,0.0,0.0,,180.0,,10.0,Low,Medium,No,Yes,Medium,Average,Yes,Yes,No,Yes,No,No,0,7355795.0,Yes,Yes,Yes,3.0,Medium,6.0,3.3,1.7,Not Applicable,3.0,1.0,Trigger,2 to 5,21.42857143,0.0,7.142857143,14.28571429,0.0,7.142857143,28.57142857,0.0,0.0,7.142857143,0.0,0.0,0.0,14.28571429,1.0
92,Company93,1,2010.0,4.0,126.0,Competitions for startups,E-Commerce|Mobile,service,Voyager Capital|VegasTechFund|Lars-Henrik Friis Molin|Amicus Group|Kolind A/S,25.0,-4.0,Yes,2010-07-07,2014-03-01,1100000.0,United States,North America,0.0,4.0,3,2,8,28.0,No,0.0,medium,No,Small,Yes,Yes,No,No,Service,No,no,No,not applicable,0,Cloud,Local,Non-Linear,No,,No,No,No,No,No,No,No,No,No,Yes,Offline,B2B,Low,High,Yes,Medium,Masters,21.0,Biology,No,Yes,Tier_1,500.0,2,0.0,1.0,0.0,Medium,1.0,Many,19.0,Medium,Medium,No,No,Low,,Yes,No,No,Yes,No,No,0,46550.0,No,Yes,No,3.0,Low,0.0,9.3,1.1,Not Applicable,45.0,45.0,,,23.07692308,7.692307692,23.07692308,0.0,0.0,0.0,7.692307692,15.38461538,7.692307692,7.692307692,0.0,0.0,0.0,7.692307692,3.0
94,Company95,1,2002.0,12.0,123.0,predictive solutions,Analytics,analytics,Appian Ventures|Core Capital Partners|QED Investors,31.0,0.0,No,2002-01-01,2011-09-07,7500000.0,United States,North America,0.0,2.0,0,0,2,50.0,,0.0,medium,No,Large,Yes,Yes,Yes,Yes,Service,Yes,Both,Yes,Structured,0,Platform,Local,Non-Linear,No,,No,No,No,Yes,No,No,Yes,No,No,No,Offline,B2B,Low,High,No,Medium,Masters,21.0,Business,Yes,Yes,Tier_2,500.0,3,1.0,0.0,0.0,Medium,1.0,,24.0,High,Medium,Yes,No,Low,,No,Yes,No,No,No,No,0,2584435.0,Yes,Yes,No,3.0,Low,0.0,4.5,7.5,Yes,65.0,15.48888889,,,13.33333333,6.666666667,0.0,0.0,6.666666667,20.0,26.66666667,0.0,6.666666667,13.33333333,0.0,0.0,0.0,6.666666667,4.0
104,Company105,1,2009.0,5.0,265.0,SaaS Marketing Analytics,Analytics|Marketing,service,Northstar Ventures,13.0,8.0,No,2009-11-05,2012-09-08,500000.0,United Kingdom,Europe,2.0,1.0,0,1,7,10.0,,0.0,high,No,Medium,Yes,Yes,No,No,Service,Yes,Both,Yes,Structured,1,Cloud,,Non-Linear,No,,No,No,No,No,No,Yes,No,Yes,No,No,Online,B2B,Low,High,Yes,Medium,Masters,21.0,MBA,No,No,Tier_1,500.0,0,0.0,0.0,0.0,Medium,196.0,Many,16.0,Low,Medium,No,No,Low,,No,No,No,No,Yes,No,0,302399.0,No,No,No,2.0,Low,15.0,2.5,0.5,Not Applicable,4.0,10.24444444,Trough,2 to 5,15.38461538,0.0,38.46153846,7.692307692,0.0,15.38461538,15.38461538,0.0,0.0,7.692307692,0.0,0.0,0.0,0.0,5.0
106,Company107,1,2008.0,6.0,98.0,Food Label Data Analysis,Network / Hosting / Infrastructure|Food & Beverages|Analytics,operation,Capital Innovators|Cultivation Capital,12.0,9.0,No,2008-01-01,2013-04-05,100000.0,United States,North America,3.0,0.0,3,2,5,20.0,No,1.0,medium,No,Small,Yes,Yes,No,No,Service,Yes,Private,Yes,Structured,0,Cloud,Global,Non-Linear,No,Few,No,No,No,No,No,No,No,No,Yes,No,Online,B2B,Low,Medium,Yes,Medium,Bachelors,18.0,Nutrition and Sociology ,Yes,Yes,,500.0,3,0.0,0.0,0.0,Medium,5.0,,48.0,High,Medium,Yes,No,Low,,No,Yes,No,No,No,No,0,915558.0,No,Yes,No,3.0,Medium,0.0,3.0,0.1,Yes,40.0,2.566666667,Peak,2 to 5,6.699346405,5.555555556,16.11111111,12.58169935,7.516339869,9.444444444,7.843137255,9.444444444,6.699346405,15.32679739,0.0,2.777777778,0.0,0.0,3.0
107,Company108,1,2011.0,3.0,338.0,Analytics for sales decisions.,Analytics|E-Commerce|Marketing,"Marketing, Sales",Eric Kwan|Google Ventures|Kenny Van Zant|Franklyn Chien|Ryan Merket|Bobby Goodlatte|Yishan Wong|Brian McClendon|Charles River Ventures|Greylock Partners|New Enterprise Associates|Y Combinator|Gabor Cselle|George Zachary|Jim Young|Alison Rosenthal|Data Collective,12.0,9.0,No,2011-01-01,2013-12-19,175000.0,United States,North America,22.0,0.0,2,0,2,10.0,Yes,2.0,low,Yes,Large,Yes,Yes,No,Yes,Service,Yes,Private,No,Both,0,Cloud,Global,Linear,No,Few,No,No,No,Yes,No,Yes,No,Yes,No,No,Online,B2B,Low,High,Yes,High,Masters,21.0,Business management,Yes,Yes,Tier_2,500.0,3,1.0,0.0,0.0,Low,3.0,,19.0,Medium,Medium,No,No,Low,,No,No,Yes,No,No,No,0,431282.0,Yes,No,Yes,2.0,Low,0.0,3.333333333,0.175,Not Applicable,6.0,6.483333333,Trough,2 to 5,20.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
